Time_s,ReferenceSignal,UncompensatedResponse,CompensatedResponse,UncompensatedControl,CompensatedControl
0,0.011578685044448,0,0,0,0
0.001,-0.00183039496128662,0,0,0,0
0.002,0.00640254673424685,0,0,0,0
0.003,0.00907719283899345,0,0,0,0
0.004,0.0217071203927926,0,0,0,0
0.005,0.0241388355228014,0,0,0,0
0.006,0.0218158079494892,0,0,0,0
0.007,0.0227442127281233,0,0,0,0
0.008,0.00739329266339464,0,0,0,0
0.009,0.0147187957020775,0,0,0,0
0.01,0.0196508766792079,0,0,0,0
0.011,0.0251489764381864,0,0,0,0
0.012,0.0474775025186194,0,0,0,0
0.013,0.0571169669922282,0,0,0,0
0.014,0.0304883733479648,0,0,0,0
0.015,0.057328543925595,0,0,0,0
0.016,0.0320010863711342,0,0,0,0
0.017,0.0516816225534448,0,0,0,0
0.018,0.0464868799033051,0,0,0,0
0.019,0.0532681108102776,0,0,0,0
0.02,0.0595652123517049,0,0,0.0297826061758525,0.0416956486461934
0.021,0.0654607438260232,0.00874352403130503,0.0104559588353411,0.0283586098973591,0.0458225206782162
0.022,0.0670223912145059,-0.0106729176841849,0.000412005183437075,0.0388476544493454,0.0399467772863993
0.023,0.0881569762015215,-0.00933569849519622,-0.0078009025902375,0.0487463373483589,0.0614352818863043
0.024,0.058995557148161,-0.00943339475941907,-0.0190489834689399,0.03421447595379,0.046496191580106
0.025,0.0696499258690838,-0.00407106768375317,-0.0213194084474076,0.0368604967764185,0.0614510955904071
0.026,0.0681897434382484,-0.00915179790822458,-0.0132236343404381,0.0386707706732365,0.061942206136971
0.027,0.0873226006046612,0.000277458018582966,-0.0141265121794611,0.0435225712930391,0.0699393727111649
0.028,0.0758050609410328,0.00558851478632073,-0.0145413820032869,0.0351082730773561,0.0624788630263338
0.029,0.0967260040161837,0.00782078283815788,-0.0103161351395761,0.0444526105890129,0.0774000339165193
0.03,0.0942739129431431,0.0116325328527607,-7.80807998699475e-05,0.0413206900451912,0.0728674431307277
0.031,0.0969560835145186,0.0186128148489972,0.00373776310224586,0.0391716343327607,0.0679212993132764
0.032,0.102844382113123,0.010750040575044,-0.00344928953202638,0.0460471707690393,0.069499848371539
0.033,0.0919573505164693,0.00580678605036861,-0.00346875514209569,0.0430752822330504,0.0666690968346241
0.034,0.0984712821845801,-0.00398515340319934,-0.00990025101449282,0.0512282177938897,0.0712418228314128
0.035,0.101928353219777,0.00250944530658666,-0.00688933202677934,0.0497094539565952,0.0779483645550034
0.036,0.11503175940708,0.00640462197347257,-0.00624618994807603,0.0543135687168036,0.0851139713808042
0.037,0.106293342996581,0.00304030860232402,-0.00541368479854005,0.0516265171971287,0.0785684256979996
0.038,0.112161687773621,0.0014700788701974,0.000417685277067423,0.0553458044517117,0.0821214023597615
0.039,0.133969602867968,0.00780980182393977,-0.00827463172684091,0.063079900522014,0.093500334770412
0.04,0.11400909665037,0.0162981990182473,-0.0015980642078761,0.0488554488160613,0.0825278012419034
0.041,0.129857729499729,0.0229887628654747,0.00587711425424213,0.0534344833171271,0.0888954115589191
0.042,0.137911759483605,0.0322975823361973,0.0107207787197551,0.0528070885737038,0.0899447009098823
0.043,0.130508789960562,0.0526872027594492,0.0224825100803325,0.0389107936005562,0.080094590069294
0.044,0.128380042642479,0.0444204349573534,0.029267083131591,0.041979803842563,0.0717661920453268
0.045,0.134269375002823,0.0561180893346162,0.029308095344382,0.0390756428341035,0.0703648281902136
0.046,0.145512461137324,0.0575981827424496,0.0292143549033667,0.0439571391974371,0.078174749437919
0.047,0.148360383068142,0.0432614841700599,0.0385286247841127,0.0525494494490409,0.0796949626329572
0.048,0.170635788267918,0.0550203570409256,0.0363103421852474,0.0578077156134964,0.0895796395461674
0.049,0.145506936943086,0.0611599919200131,0.0483261813153884,0.0421734725115367,0.0724682105212863
0.05,0.141111529485852,0.0653251637389904,0.0598072712200766,0.0378931828734309,0.0616865521036314
0.051,0.162539845491057,0.0741975271362373,0.0583904353555502,0.0441711591774097,0.0693656185215691
0.052,0.143860747477839,0.0743148699463272,0.0554855598151487,0.0347729387657559,0.05712880822912
0.053,0.148575022207779,0.0719226680110593,0.0661613492808122,0.0383261770983598,0.0625545604407289
0.054,0.16728485997307,0.0652047416029354,0.078873029752843,0.0510400591850673,0.068229660555783
0.055,0.182610627783327,0.0589991551325044,0.0908974297804859,0.0618057363254114,0.0700360246928739
0.056,0.175704065279753,0.0468507460285661,0.101462267006014,0.0644266596255934,0.0567070726646193
0.057,0.158281586993028,0.0429862845839215,0.0994703948470873,0.0576476512045531,0.037908425413845
0.058,0.201998615366365,0.0351991250751764,0.110842217337558,0.0833997451455941,0.0695998786327674
0.059,0.173854314165235,0.0500638132645704,0.121168133921426,0.0618952504503325,0.0415571596305649
0.06,0.180096384020828,0.0537224476630743,0.133256904748743,0.0631869681788767,0.0397795448727412
0.061,0.182827579650156,0.0516838789234942,0.130282880880688,0.065571850363331,0.0332075861656248
0.062,0.173031912363286,0.0626055493893393,0.131147399324585,0.0552131814869734,0.02826250358636
0.063,0.192620609895694,0.0559761389026368,0.140661454174182,0.0683222354965284,0.0420583477425072
0.064,0.181351599162285,0.0458958527651916,0.137501485721949,0.0677278731985468,0.0283869253394706
0.065,0.196417809072341,0.0476012158231804,0.11831833070712,0.0744082966245801,0.0411332826282154
0.066,0.193449725846947,0.0448362494533617,0.134461502021749,0.0743067381967926,0.051317932464227
0.067,0.208535302529845,0.0450421928083315,0.132609704331501,0.0817465548607568,0.051016558176988
0.068,0.214057084091808,0.0440528897575474,0.142060171606855,0.0850020971671301,0.0554537550777268
0.069,0.199116783696891,0.0551439764051816,0.145049698957363,0.0719864036458547,0.0398432741069287
0.07,0.208478697642765,0.0549113012497916,0.137175442582535,0.0767836981964866,0.0451264650039093
0.071,0.214777864245676,0.0674532206885421,0.146435130876333,0.073662321778567,0.0542695760497686
0.072,0.203892901635186,0.0759765750329065,0.150444525254924,0.0639581633011395,0.0412983862642026
0.073,0.229141074755704,0.0701320771233778,0.139811166842565,0.0795044988161633,0.0559363206970573
0.074,0.229915400481214,0.0574987028492361,0.139562158257871,0.0862083488159888,0.0631852503790423
0.075,0.213440766544195,0.0616856125983988,0.145280551181827,0.0758775769728981,0.0516979444476427
0.076,0.226233809277047,0.0630819036413217,0.149445120955305,0.0815759528178626,0.0577348052627156
0.077,0.227966479270227,0.0693677105324205,0.136152194924537,0.079299384368903,0.0574314978697202
0.078,0.237797128498119,0.0701025611302138,0.140710217418171,0.0838472836839528,0.0710493601630843
0.079,0.216483242936207,0.0568449486697892,0.133479375930673,0.0798191471332087,0.054970580450886
0.08,0.247432087257341,0.0747485837376484,0.124369655986691,0.0863417517598461,0.0815732275158711
0.081,0.250848689308934,0.0693567219110933,0.121701582696819,0.0907459836989202,0.0904767985280274
0.082,0.242978346306207,0.0752590284443995,0.120433207825202,0.0838596589309036,0.0870771498066288
0.083,0.251494358404926,0.0693929983993908,0.123646836961235,0.0910506800027674,0.0929594085692028
0.084,0.254165912376695,0.0665181184404041,0.128062844110058,0.0938238969681456,0.0936035978312788
0.085,0.245791926789278,0.0610618414346672,0.135069766076596,0.0923650426773052,0.0839445332170502
0.086,0.249874435381376,0.0598201557195157,0.12899943045777,0.0950271398309302,0.0814498042018091
0.087,0.266153825251445,0.0580565224134025,0.130266678310234,0.104048651419021,0.0969114478780498
0.088,0.266298777320041,0.0680348522155485,0.151350424804917,0.0991319625522463,0.0958710014400501
0.089,0.269479175051173,0.0651768562901199,0.147790937285575,0.102151159380527,0.0850908650381798
0.09,0.277848722993173,0.0668408576621405,0.146467943952011,0.105503932665516,0.0929679732391236
0.091,0.285106567022001,0.069066552986697,0.140468085540416,0.108020007017652,0.0983176506760506
0.092,0.281887219218843,0.0789045711046205,0.144466796165205,0.101491324057111,0.100932082560801
0.093,0.267372751046165,0.0842249159813953,0.151071200045447,0.0915739175323848,0.0871260726015036
