Iteration,Lambda1,Lambda2,Lambda3,ViolationRate
1,0.5,0.3,0.2,0.1
2,0.500038357609781,0.301098497012101,0.200324081061453,0.1
3,0.500075947477685,0.302174959513262,0.200641666572768,0.1
4,0.500112784981966,0.303229830759296,0.200952886997999,0.1
5,0.500148885192385,0.304263545038799,0.201257870169929,0.1
6,0.500184262876409,0.30527652785656,0.201556741343577,0.1
7,0.500218932505302,0.306269196113153,0.201849623248589,0.1
8,0.500252908260074,0.307241958280772,0.202136636140556,0.1
9,0.500286204037327,0.308195214575403,0.202417897851268,0.1
10,0.500318833454968,0.309129357125408,0.202693523837935,0.1
11,0.500350809857818,0.310044770136598,0.202963627231394,0.1
12,0.500382146323101,0.310941830053871,0.203228318883318,0.1
13,0.500412855665823,0.311820905719494,0.203487707412465,0.1
14,0.500442950444044,0.312682358528091,0.20374189924996,0.1
15,0.500472442964043,0.313526542578416,0.203990998683664,0.1
16,0.500501345285377,0.314353804821984,0.204235107901613,0.1
17,0.500529669225842,0.315164485208609,0.20447432703458,0.1
18,0.500557426366326,0.315958916828938,0.204708754197756,0.1
19,0.500584628055574,0.31673742605403,0.204938485531575,0.1
20,0.50061128541485,0.317500332672047,0.205163615241708,0.1
21,0.500637409342506,0.318247950022124,0.205384235638233,0.1
22,0.50066301051846,0.318980585125467,0.205600437174001,0.1
23,0.500688099408583,0.319698538813747,0.205812308482221,0.1
24,0.500712686269,0.32040210585485,0.206019936413273,0.1
25,0.500736781150298,0.321091575076025,0.20622340607077,0.1
26,0.500760393901657,0.321767229484501,0.206422800846879,0.1
27,0.500783534174891,0.322429346385614,0.206618202456925,0.1
28,0.500806211428414,0.323078197498512,0.206809690973283,0.1
29,0.500828434931117,0.323714049069468,0.206997344858583,0.1
30,0.500850213766179,0.324337161982871,0.207181240998233,0.1
31,0.50087155683479,0.324947791869931,0.207361454732281,0.1
32,0.500892472859805,0.325546189215161,0.207538059886625,0.1
33,0.500912970389323,0.326132599460657,0.207711128803591,0.1
34,0.500933057800196,0.326707263108255,0.207880732371881,0.1
35,0.50095274330146,0.327270415819583,0.208046940055916,0.1
36,0.500972034937708,0.327822288514062,0.208209819924582,0.1
37,0.500990940592388,0.328363107464907,0.208369438679387,0.1
38,0.501009467991034,0.328893094393154,0.208525861682047,0.1
39,0.501027624704433,0.329412466559764,0.20867915298151,0.1
40,0.501045418151736,0.32992143685585,0.208829375340434,0.1
41,0.501062855603491,0.330420213891046,0.20897659026112,0.1
42,0.501079944184628,0.330909002080081,0.209120858010925,0.1
43,0.501096690877383,0.331388001727578,0.209262237647154,0.1
44,0.50111310252415,0.331857409111124,0.209400787041447,0.1
45,0.501129185830297,0.332317416562642,0.209536562903672,0.1
46,0.501144947366905,0.332768212548102,0.209669620805336,0.1
47,0.501160393573465,0.333209981745612,0.209800015202512,0.1
48,0.501175530760515,0.333642905121905,0.209927799458311,0.1
49,0.501190365112227,0.334067160007281,0.210053025864893,0.1
50,0.50120490268894,0.334482920169009,0.210175745665028,0.1
